qu,an
以下说法不符合涉密人员手机使用保密要求的是（）。,IMG_0363.png
以下说法，不符合保密要害部门部位管理要求的是（)。,IMG_0415.png
涉密人员保密审查由机关单位（)组织实施。,IMG_0359.png
使用微信传递国家秘密属于泄密行为。下列关于该行为的说法，不正确的是(）。,IMG_0377.png
涉密人员脱密期自批准涉密人员离职离岗之日起计算，核心涉密人员脱密期不少于(）年，重要涉密人员脱密期不少于(）年，一般涉密人员脱密期不少于（)年。,IMG_0391.png
某单位工作人员张某，在单位维修一台处理涉密信息的多功能一体机（兼具打印、复印、扫描等功能，以下简称“涉密一体机”）时，发现无法解决该机器不能扫描的故障。张某于是擅自决定将其“废物变宝”，带回自己办公室与普通电工b日过左立北正H红知首☆t#出B止以水太行楼的世信自生这革处出三的b人之十t八,IMG_0420.png
保密法第三十二条规定，机关、单位应将涉及()确定为保密要害部门。一,IMG_0338.png
下列属于手机“木马”植入方式的是（)。①扫描来源不明的二维码②连接不明W-Fi③安装来源不明的应用程序④打开不明链接,IMG_0319.png
下列不属于窃听技术的是（)。①有线窃听②无线窃听③激光窃听④间谍卫星拍照,IMG_0318.png
在未采取安全保密防护的情况下，禁止在涉密网络和非涉密网络之间进行信息交换。,IMG_0252.png
涉密信息系统按照涉密程度分为绝密级、机密级、秘密级。,IMG_0403.png
机关单位要保证涉密人员每年接受不少于4个学时的保密专题教育培训。,IMG_0405.png
当前常见的几款即时通信软件都是基于互联网的应用服务，聊天记录、文件收藏都会在“云端”传输、处理、存储。一日涉及国家秘密信息，就等于将其完全暴露在了互联网上。,IMG_0354.png
若公民在生活中偶然获悉泄露的国家秘密，应当立即采取补救措施并及时报告有关机关、单位，机关单位接到报告后，应当立即作出处理，并及时向保密行政管理部门报告。,IMG_0424.png
涉密人员因公出国（境)，按照人事行政隶属关系、干部管理权限和外事审批权限审批。,IMG_0212.png
行政机关不得公开涉及国家秘密、商业秘密、个人隐私的政府信息。但是，经权利人同意公开或者行政机关认为不公开可能对公共利益造成重大影响的涉及商业秘密、个人隐私的政府信息，可以公开。,IMG_0285.png
工作需要原则和最小化原则是确定国家秘密知悉范围基本原则。,IMG_0409.png
2010年4月29日，《中华人民共和国保守国家秘密法》经第十一届全国人大常委会第十四次会议修订通过，这是我国历史上首部保密法律。,IMG_0290.png
“南陈北李，相约建党”是指1920年，陈独秀和李大钊秘密相约筹建中国共产党。,IMG_0408.png
按照现有的保密法律制度，定密责任人包括（)。,IMG_0364.png
下列不属于常见窃照手段的是（)。,IMG_0384.png
以下关于涉密人员使用手机的注意事项，说法不正确的是（)。,IMG_0378.png
邓颖超同志在《一个严格遵守保密纪律的共产党员》一文中回忆，“党组织经常教导我们，（)”。这也是她和周恩来同志一生保守党的秘密的原则。,IMG_0298.png
下列不符合信息公开保密审查工作要求的是（)。,IMG_0399.png
国家秘密一经确定，应当同时在国家秘密载体上作出国家秘密标志。下列国家秘密标志形式正确的为（)。,IMG_0365.png
关于在手机使用中保密要求不正确的是（)。,IMG_0417.png
()通过了《中国共产党章程》，是我党成立后制定的第一个党章，其中规定：凡“泄漏本党秘密”的党员，“该地方执行委员会必须开除之”。,IMG_0396.png
陈某是某军工企业的工作人员，接受境外不明身份人员资助，在境外人员指挥不拍摄军舰以及舰艇的发动机型号等。事后陈某被国家安全机关抓获，经鉴定，陈某所提供的资料涉及多份国家秘密。以下关于陈某行为，不正确的是（)。,IMG_0380.png
维修涉密办公自动化设备，应当在本单位内部进行，并由相关人员全程监督，严禁维修人员读取或复制涉密信息。,IMG_0268.png
下级机关单位产生的国家秘密，以上级机关单位名义制发的，由上级机关单位负责解密，下级机关单位不可以就该国家秘密提出解密建议。,IMG_0207.png
国家秘密标志是一种法定的文字与符号标识，用以表明所标识的物品所承载的内容属于国家秘密。若领导要求传达学习某份涉密文件，可以遮盖涉密标志后拍照并在微信群中发布。,IMG_0295.png
沈安娜是著名的红色女特工，承担国民党中央常务委员会等重要会议的速记工作，为党中央搜集了国民党政府发动反共高潮，企图破坏《双十协定》和政协决议等重要情报，被誉为“按住蒋介石脉搏的人”。,IMG_0430.png
1951年，毛泽东在中央政治局会议上指出：“必须十分注意保守秘密，九分半不行，九分九也不行，非十分不可。”,IMG_0388.png
1948年5月，中央保密委员会在西柏坡成立，这是党的历史上最早统一领导保密工作的专门组织。,IMG_0406.png
行政机关在公开政府信息前，应当依照保密法以及其他法律、法规和国家有关规定对拟公开的政府信息进行审查。,IMG_0425.png
机关、单位在确定保密要害部门部位前应对照主管业务领域保密事项范围的规定和部门工作职责，对相关内设部门、部位是否符合确定条件进行梳理。,IMG_0271.png
某机关工作人员杨某在起草领导关于经济工作的讲话时，将涉密素材中的一些数据用手机拍摄下来通过微信发给同学，造成泄密。关于杨某的做法，下列说法不正确的是（）。,IMG_0240.png
涉密人员上岗前应当()。,IMG_0379.png
下列对涉密信息系统的说法中，正确的是（)。,IMG_0395.png
某单位办公室工作人员李某在工作中发现一台涉密计算机性能较差，一刚好对口扶贫村学校需要一台用于学校教学的计算机，李某向领导请示并经同意后，将该电脑捐赠给了学校。捐赠前，李某将硬盘进行了格式化处理，并认为只要将硬盘P・二:L当巾台排目止×，L→业工本甘的地下当正渔的目,IMG_0397.png
1928年6月，国内正处于极其严重的白色恐怖时期。为了安全保密，中国共产党第六次全国代表大会在（)秘密举行。这是中国共产党唯一一次在国外召开的具有历史意义的会议。,IMG_0414.png
智能手机具有视频通话、宽带上网、位置服务、大容量数据存储处理等多种功能，在使用过程中需要注意存储信息被窃取利用、用户位置被定位跟踪等安全隐患。在涉密会议和涉密重大活动中，只要不使用手机录音录像功能，就可以带入,IMG_0427.png
因工作需要携带涉密载体在境外驻留时，应当选择符合安全保密要求的场所；每次离开驻留场所前，应当进行彻底清理，确保不遗留任何涉密载体。,IMG_0387.png
声音信息是涉密场所的重要涉密信息形式。,IMG_0422.png
国家秘密的保密期限，除另有规定外，绝密级不超过30年，机密级不超过20年，秘密级不超过10年。,IMG_0313.png
产生、传递、使用和管理国家秘密的密级高低和数量多少，是保密要害部门的确定标准。,IMG_0428.png
手机在关机状态下，窃密者就不能通过手机进行窃密。,IMG_0267.png
0考试成绩,IMG_0235.png
机关单位工作人员小赵为了便利工作，在互联网上为部门注册了一个电子邮箱。关于小赵使用邮箱的方式，下列说法正确的是()。,IMG_0416.png
以下不属于信息公开保密审查内容的是（)。,IMG_0413.png
习近平总书记在党的二十大报告中提出：“提高防范化解重大风险能力，严密防范系统性安全风险，严厉打击敌对势力渗透、破坏、颠覆、分裂活动。全面加强国家安全教育，提高各级领导千部统筹发展和安全能力，增强全民（)，筑序国法个人99,IMG_0325.png
某单位集体学习涉密文件时，涉密人员赵某偷偷用手机将文件部分内容拍照（已遮挡国家秘密标志）发送给好友钱某。钱某收到文件照片后，就相关内容与赵某及其他朋友和同事进行了讨论。关于赵某和钱某的做法，下列说法不正确的是,IMG_0320.png
以下关于涉密会议、活动新闻报道的保密要求，说法不正确的是(）。,IMG_0357.png
普通手机处于关机状态下时，不存在泄密隐患。,IMG_0335.png
1931年4月25日，钱壮飞及时将顾顺章叛变的绝密消息告知中央，为保卫中央机关的安全做出了重大贡献。,IMG_0401.png
涉密计算机改为非涉密计算机使用，在经本机关单位主管领导批准后，可以保留原信息存储部件。,IMG_0404.png
根据涉密人员管理有关规定，由涉密岗位调整到非涉密岗位的，应当执行脱密期保密管理要求。,IMG_0367.png
激光窃听器由于难以隐蔽、窃听效果差，未能被情报机构广泛应用。,IMG_0426.png
保密法规定，在涉密岗位工作的人员按照涉密程度分为（)，实行分类管理。,IMG_0411.png
2023年全国保密宣传教育月公益宣传片的主题是（）。,IMG_0393.png
某涉密单位近期要组织工作人员赴外参加一次国际交流与合作项目。领导安排李某负责筹备这次因公出国（境)的相关工作。下列李某的做法不正确的是（)。,IMG_0283.png
涉密信息系统应当由国家保密行政管理部门设立或者授权的保密测评机构进行检测评估，并经设区的市、自治州级以上保密行政管理部门审查合格，方可投人使用。,IMG_0429.png
针对无线窃听，可通过建设电磁屏蔽室等方式进行防范。,IMG_0370.png
文件、资料汇编中有密件的，应当对各独立的密件的密级和保密期限作出标志，并在封面以汇编文件中的最低密级和最短保密期限作出标志。,IMG_0423.png
下列场所可以确定为保密要害部位的是（)。,IMG_0341.png
下列方式无法阻挡激光窃听的是（)。,IMG_0418.png
机关、单位在互联网上转载信息时要履行信息发布保密审查制度，坚持“谁主管、谁负责”、“谁公开、谁审查”、“先审查、后公开”。,IMG_0407.png
“泄露国家秘密”是指违反保密法律、法规和规章，使国家秘密被不应知悉者知悉的；或者使国家秘密超出了限定的接触范围，而不能证明未被不应知悉者知悉的。,IMG_0375.png
未达到涉密岗位确定标准但接触知悉少量国家秘密的人员，必须确定为涉密人员。,IMG_0389.png
上岗前已接受保密教育培训的保密要害部门部位工作人员，在岗期间无需再进行保密教育。,IMG_0386.png
禁止在互联网及其他公共信息网络或者未采取保密措施的有线和无线通信中传递国家秘密。,IMG_0421.png
中央国家机关、省级机关以及（）具有法定的定密权。,IMG_0324.png
不得在普通手机通话中涉及国家秘密或者使用普通手机短信传送国家秘密信息。,IMG_0329.png
通过架设伪基站，能对周围的手机通信进行窃听和截获。,IMG_0390.png
1941年春，中办机要处同志给毛泽东送去一份秘密电报。电报稿没有用信封封装，而是从这位同志上衣口袋里掏出来的，这个细节引起了毛泽东的注意。他严肃地说：“秘密文件放在衣兜里递，是很不利于保密的。”说完，从办公桌上h山_日i士之（入1个L.岁,IMG_0336.png
机关、单位应当加强涉密信息系统的运行使用管理，指定（)负责运行维护、安全保密管理和安全审计，定期开展安全保密检查和风险评估。,IMG_0383.png
下列情形中，不属于泄露国家秘密的是（)。,IMG_0419.png
某事业单位工作人员刘某被发现个人博客违规刊登涉密文件。经查，该份文件是刘某为了学习相关知识，在互联网上搜集政策信息时发布到个人博客，该份文件在转载前未标明密级。关于下列说法不正确的是（)。,IMG_0398.png
某机关仅有秘密级国家秘密定密权，收到其他机关对机密级国家秘密文件征求意见的函，如果复函涉及该机密级国家秘密的实质内容，复函应当（)。,IMG_0400.png
公民、法人或其他组织认为行政机关保密审查不当，不依法履行政府信息公开义务的，可以向上级行政机关、监察机关或者政府信息公开工作主管部门举报。,IMG_0402.png
从技术角度讲，手机主要存在（)等风险。①被监听②远程控制③定位跟踪,IMG_0412.png
